iter	Passed	Remaining
0	1	374
1	2	272
2	3	236
3	4	219
4	5	213
5	6	215
6	7	208
7	8	199
8	9	197
9	10	192
10	11	189
11	11	186
12	12	183
13	13	180
14	14	179
15	15	177
16	16	176
17	17	173
18	17	171
19	18	168
20	19	166
21	20	164
22	21	162
23	22	162
24	23	162
25	24	160
26	24	159
27	25	157
28	26	156
29	27	155
30	28	154
31	29	153
32	30	152
33	31	151
34	32	151
35	32	150
36	33	148
37	34	147
38	35	146
39	36	145
40	37	144
41	38	143
42	39	142
43	39	141
44	40	140
45	41	139
46	42	139
47	43	138
48	44	136
49	45	135
50	46	134
51	46	133
52	47	132
53	48	131
54	49	130
55	50	129
56	51	128
57	52	127
58	53	126
59	53	125
60	54	124
61	55	123
62	57	124
63	57	123
64	58	121
65	59	120
66	60	119
67	61	118
68	62	117
69	62	116
70	63	115
71	64	115
72	65	114
73	66	113
74	67	112
75	68	111
76	69	110
77	69	109
78	70	108
79	72	108
80	72	107
81	73	106
82	74	105
83	75	104
84	76	103
85	77	102
86	78	101
87	78	100
88	79	99
89	80	98
90	81	97
91	82	96
92	83	96
93	84	95
94	85	94
95	85	93
96	86	92
97	87	91
98	88	90
99	90	90
100	91	89
101	91	88
102	92	87
103	93	86
104	94	85
105	95	84
106	96	83
107	97	82
108	98	81
109	98	80
110	99	80
111	100	79
112	101	78
113	102	77
114	103	76
115	104	75
116	105	74
117	106	73
118	107	72
119	108	72
120	109	71
121	109	70
122	110	69
123	111	68
124	112	67
125	113	66
126	114	65
127	115	64
128	116	63
129	116	62
130	117	62
131	118	61
132	119	60
133	120	59
134	121	58
135	122	57
136	122	56
137	123	55
138	124	54
139	125	53
140	126	52
141	126	51
142	127	50
143	128	50
144	129	49
145	130	48
146	131	47
147	132	46
148	132	45
149	133	44
150	134	43
151	135	42
152	136	41
153	137	41
154	138	40
155	139	39
156	140	38
157	141	37
158	141	36
159	142	35
160	143	34
161	144	33
162	145	32
163	146	32
164	147	31
165	147	30
166	148	29
167	149	28
168	150	27
169	151	26
170	152	25
171	153	24
172	154	24
173	154	23
174	155	22
175	156	21
176	157	20
177	158	19
178	158	18
179	159	17
180	160	16
181	161	16
182	162	15
183	163	14
184	164	13
185	165	12
186	166	11
187	166	10
188	167	9
189	168	8
190	169	7
191	170	7
192	171	6
193	172	5
194	173	4
195	174	3
196	174	2
197	175	1
198	176	0
199	177	0
